feature_x,feature_y,correlation,p-value
Obligatory Double Negation (143B),Order of Object and Verb (83A),0.5327439582495695,0.00020209606727304951
Obligatory Double Negation (143B),Order of Demonstrative and Noun (88A),0.6267274692363145,2.3732844437090984e-09
Obligatory Double Negation (143B),Position of Interrogative Phrases in Content Questions (93A),0.622285773044293,0.005923248162647531
Obligatory Double Negation (143B),Verbal Person Marking (102A),0.7140477739389464,0.013425821194500578
Obligatory Double Negation (143B),Postverbal Negative Morphemes (143F),0.9434473378291796,1.0168550878288964e-42
Obligatory Double Negation (143B),SVNegO Order (144J),0.7915074063828931,2.6755435089128432e-05
Obligatory Double Negation (143B),SNegVO Order (144I),0.7669955982696421,1.6103619473044963e-06
Obligatory Double Negation (143B),SVONeg Order (144K),0.8745081433317949,2.1935846273941398e-07
Obligatory Double Negation (143B),Position of negative words relative to beginning and end of clause and with respect to adjacency to verb (144B),0.6565200061829941,0.01039290375522228
Obligatory Double Negation (143B),Preverbal Negative Morphemes (143E),0.9596155082525633,8.651440550776997e-45
Obligatory Double Negation (143B),Order of Negative Morpheme and Verb (143A),0.9999999999999999,2.9578961425707874e-18
Obligatory Double Negation (143B),Minor morphological means of signaling negation (143G),0.7174191700022559,3.884111783611161e-13
Multiple Negative Constructions in SOV Languages (144M),Multiple Negative Constructions in SVO Languages (144E),1.0,0.02501696121635148
Multiple Negative Constructions in SOV Languages (144M),Coding of Nominal Plurality (33A),0.8546170899124181,0.009852626286945982
Multiple Negative Constructions in SOV Languages (144M),Ordinal Numerals (53A),0.9999999999999999,0.04780710917143421
Multiple Negative Constructions in SOV Languages (144M),Negative Morphemes (112A),0.8223160607112716,0.02082000858585105
Multiple Negative Constructions in SOV Languages (144M),NegSOV Order (144P),0.9999999999999998,0.005240513506243202
Multiple Negative Constructions in SOV Languages (144M),SOVNeg Order (144S),1.0,9.830976841642121e-08
Multiple Negative Constructions in SOV Languages (144M),SNegOV Order (144Q),1.0,0.005240513506243162
Multiple Negative Constructions in SOV Languages (144M),"Order of Subject, Object and Verb (81A)",1.0,0.0010849985517712305
Multiple Negative Constructions in SOV Languages (144M),Order of Subject and Verb (82A),1.0000000000000002,0.0010151916508864566
Multiple Negative Constructions in SOV Languages (144M),Order of Object and Verb (83A),1.0,0.0013543789540501599
Multiple Negative Constructions in SOV Languages (144M),Order of Genitive and Noun (86A),0.8838834764831844,0.01201877763558485
Multiple Negative Constructions in SOV Languages (144M),Order of Demonstrative and Noun (88A),0.8883647444557439,0.0019309982657573885
Multiple Negative Constructions in SOV Languages (144M),Position of Interrogative Phrases in Content Questions (93A),0.9524404743304734,0.0023546335896746534
