0,1
137A,139A
143F,139A
139A,144J
144A,139A
144I,139A
139A,144K
144B,139A
144D,139A
139A,143E
139A,143A
139A,144H
143G,139A
139A,137B
136B,139A
139A,58B
141A,140A
140A,142A
90B,140A
144Y,140A
90C,140A
140A,144P
144N,140A
144S,140A
131A,140A
81B,140A
143C,140A
90F,140A
144W,140A
140A,144O
144Q,140A
144L,140A
140A,144C
144T,140A
143D,140A
39B,140A
109B,140A
10B,140A
25B,140A
21B,140A
108B,140A
130B,140A
79B,140A
27A,140A
140A,37A
140A,44A
140A,48A
49A,140A
50A,140A
57A,140A
140A,58A
59A,140A
63A,140A
70A,140A
71A,140A
72A,140A
74A,140A
75A,140A
140A,76A
140A,81A
82A,140A
83A,140A
86A,140A
87A,140A
88A,140A
91A,140A
92A,140A
93A,140A
100A,140A
101A,140A
102A,140A
103A,140A
140A,104A
107A,140A
140A,116A
117A,140A
140A,121A
125A,140A
126A,140A
127A,140A
128A,140A
136A,140A
137A,140A
143F,140A
140A,144J
144A,140A
144I,140A
140A,144K
144B,140A
144D,140A
140A,143E
140A,143A
140A,144H
143G,140A
140A,137B
136B,140A
140A,58B
141A,142A
141A,90B
141A,144Y
141A,144N
141A,131A
141A,81B
141A,143C
141A,90F
141A,144W
141A,144O
141A,144C
141A,144T
141A,143D
39B,141A
141A,10B
25B,141A
141A,21B
141A,130B
141A,79B
27A,141A
141A,44A
141A,48A
141A,49A
141A,50A
141A,58A
141A,59A
141A,63A
141A,74A
141A,75A
141A,76A
141A,100A
141A,102A
141A,103A
141A,104A
141A,107A
141A,117A
141A,121A
141A,125A
126A,141A
141A,127A
141A,128A
141A,136A
141A,137A
141A,144J
141A,144I
141A,144K
144D,141A
141A,144H
141A,137B
141A,136B
141A,58B
144Y,142A
144N,142A
90F,142A
143D,142A
39B,142A
130B,142A
90B,90F
90B,144C
143D,90B
39B,90B
10B,90B
90B,130B
144N,144Y
144Y,143C
144Y,90F
144Y,144W
144Y,144O
144Y,144C
144T,144Y
143D,144Y
39B,144Y
10B,144Y
144Y,130B
144Y,144J
144Y,144I
144Y,144K
144D,144Y
144Y,144H
90C,90F
144W,144P
144T,144P
10B,144P
144N,143C
144N,90F
144N,144W
144N,144O
144N,144T
144N,143D
39B,144N
144N,10B
144N,130B
144S,144W
144T,144S
10B,144S
143D,131A
10B,131A
81B,90F
81B,144O
81B,143D
39B,81B
81B,10B
81B,130B
90F,143C
143D,143C
39B,143C
10B,143C
90F,144W
90F,144O
90F,144C
144T,90F
143D,90F
10B,90F
90F,74A
90F,76A
90F,91A
90F,121A
90F,144J
90F,144I
90F,144K
144D,90F
90F,144H
144W,144O
144Q,144W
144L,144W
143D,144W
39B,144W
10B,144W
144C,144O
144T,144O
143D,144O
39B,144O
10B,144O
130B,144O
63A,144O
144J,144O
144I,144O
144K,144O
144D,144O
144H,144O
144Q,144T
144Q,10B
144T,144L
10B,144L
143D,144C
39B,144C
10B,144C
130B,144C
128A,144C
144T,143D
39B,144T
144T,10B
39B,143D
143D,109B
10B,143D
25B,143D
143D,21B
143D,108B
143D,130B
143D,79B
27A,143D
143D,49A
143D,50A
143D,58A
143D,59A
143D,63A
143D,70A
143D,71A
143D,72A
143D,74A
143D,75A
143D,76A
117A,143D
143D,121A
143D,125A
126A,143D
143D,127A
128A,143D
143D,136A
143D,137A
143D,137B
143D,136B
143D,58B
39B,10B
10B,109B
25B,10B
10B,21B
10B,108B
10B,130B
10B,79B
10B,49A
10B,50A
10B,58A
10B,59A
10B,74A
10B,75A
10B,76A
10B,125A
126A,10B
10B,127A
10B,128A
10B,136A
10B,137A
10B,137B
10B,136B
10B,58B
